Виборча дільниця,БУЛАВКА Галина Іллівна,ВІЛКУЛ Олександр Юрійович,КРАСНОВ Загід Геннадійович,КРУПСЬКИЙ Анатолій Федорович,КУРЯЧИЙ Максим Павлович,ФІЛАТОВ Борис Альбертович,ЧЕБЕРДА Олексій Григорович,ЧЕКОТИЛО Євгеній Сергійович,ШВЕЦЬ Владислав Миколайович,ШЕБАНОВ Вадим Анатолійович,Взяло участь у голосуванні,Виборців у списку
121046,13,293,85,17,34,189,18,1,0,1,699,2096
121047,9,250,35,36,23,144,19,1,2,2,564,1710
121048,17,298,85,9,26,202,23,0,1,2,700,2328
121049,4,335,146,28,42,217,26,1,3,1,865,2221
121050,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121051,12,315,63,27,41,236,27,3,2,0,783,2284
121052,12,264,82,21,35,256,17,1,3,1,740,2470
121053,18,359,103,28,27,203,16,3,0,2,823,2325
121054,13,257,108,8,31,250,18,1,1,3,755,2443
121055,12,307,80,18,27,266,18,2,4,5,777,2307
121056,7,388,165,16,64,396,16,3,3,4,1129,2331
121057,12,320,129,11,43,351,15,0,1,6,969,2285
121058,12,356,181,8,78,421,17,0,3,1,1143,2329
121059,8,366,183,12,53,408,25,1,3,8,1127,2346
121060,4,421,186,18,39,324,21,3,1,2,1092,2263
121061,10,428,198,17,28,331,20,2,4,4,1112,2302
121062,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121063,11,338,133,21,41,228,10,2,0,1,838,2367
121064,10,275,130,14,29,134,4,2,1,0,669,1993
121065,27,299,122,12,36,258,6,2,2,1,820,2251
121066,19,367,98,12,44,310,17,2,4,4,940,2355
121067,10,326,118,8,32,286,16,0,1,1,836,2286
121068,8,280,100,8,47,214,19,2,3,3,722,2171
121069,9,246,101,9,30,205,3,0,3,4,643,1950
121070,5,306,162,13,52,244,10,0,1,8,846,1865
121071,11,303,221,17,36,301,17,2,1,0,951,2317
121072,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121073,5,251,128,11,34,307,15,1,4,4,799,1978
121074,11,289,143,13,46,251,9,0,0,6,814,1856
121075,9,376,210,26,25,335,13,1,2,3,1056,2415
121076,Ми очікуємо на інформацію від спостерігача,,,,,,,,,,,
121077,11,401,200,9,41,316,15,1,2,3,1050,2271
121078,13,398,167,14,48,324,12,0,6,2,1030,2234
121079,17,345,241,15,40,317,13,2,4,4,1042,2325
121080,4,393,182,12,48,306,13,1,1,8,1027,2182
121081,14,389,199,12,41,282,16,0,2,4,1023,2288
121082,24,390,144,16,40,323,14,1,1,4,1006,2182
121083,13,446,160,29,44,306,15,1,4,4,1071,2243
121084,4,363,165,12,41,233,14,0,1,5,893,2033
121085,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121086,3,146,111,3,15,113,4,0,0,2,422,812
121087,7,364,236,13,44,293,13,1,5,1,1036,2331
121088,8,415,357,10,38,213,11,1,2,2,1114,2265
121089,15,362,207,12,52,310,21,0,1,2,1042,2337
121090,12,358,201,14,34,256,13,0,2,3,955,2259
121091,6,320,175,9,51,271,17,3,3,0,906,1905
121092,5,181,99,5,15,143,9,0,2,1,491,1006
121093,11,411,233,10,53,301,15,1,2,10,1103,2231
121094,10,303,157,14,47,319,15,1,3,7,919,2202
121095,12,368,185,15,57,315,19,0,3,2,1029,2322
121096,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121097,14,301,131,18,48,369,22,0,3,4,962,2335
121098,10,294,335,16,61,283,8,2,5,3,1066,2242
121099,8,307,327,12,55,300,10,0,0,5,1081,2049
121100,4,335,363,10,32,310,13,1,0,12,1132,2185
121101,16,338,429,12,52,297,9,1,0,4,1200,2328
121102,Ми очікуємо на інформацію від спостерігача,,,,,,,,,,,
121104,2,27,12,3,4,14,0,1,1,1,70,70
121105,11,349,72,10,32,483,16,1,2,4,1023,2121
121106,9,372,59,26,55,444,23,0,1,10,1054,2091
121108,14,351,58,13,72,490,22,1,3,7,1080,2288
121109,5,328,60,19,19,420,25,3,2,4,975,2232
121110,Ми очікуємо на інформацію від спостерігача,,,,,,,,,,,
121111,13,250,42,13,32,314,13,1,2,3,731,2140
121112,17,256,64,12,36,379,21,0,0,1,828,2349
121113,10,326,85,20,46,400,28,1,2,3,970,2328
121114,17,327,86,29,53,325,17,3,2,1,932,2200
121115,8,304,75,27,49,404,20,4,4,2,954,2147
121116,7,319,87,24,45,357,20,2,3,4,930,2049
121117,12,349,82,28,51,387,15,0,1,5,973,2185
121118,15,386,77,9,69,336,16,2,2,12,973,1968
121119,27,379,126,17,44,337,21,1,4,2,1018,2107
121120,17,366,197,18,43,397,14,0,2,7,1131,2348
121121,8,514,109,10,51,320,13,1,4,2,1081,2216
121122,14,433,161,18,47,362,15,0,2,4,1120,2292
121123,12,419,132,24,46,330,14,4,3,9,1032,1094
121124,13,389,139,13,52,387,13,1,2,5,1068,2186
121125,9,285,112,12,29,248,12,0,3,4,756,1834
121126,25,268,86,5,1,251,14,0,2,2,724,1819
121127,12,297,92,9,37,307,20,2,2,3,828,1845
121128,26,312,110,6,38,300,10,1,2,4,843,1966
121129,11,321,138,10,32,311,11,0,0,5,895,2097
121130,7,373,156,9,47,385,20,0,1,6,1055,2295
121131,12,308,117,6,27,253,20,0,2,0,781,1844
121132,16,334,223,12,38,314,9,2,4,3,1010,2296
121133,10,286,236,8,37,276,6,0,0,9,909,1871
121134,7,343,235,7,40,294,17,1,7,8,1010,2093
121135,6,350,211,6,217,329,11,1,2,9,1006,2198
121136,12,419,173,3,54,355,17,3,3,4,1090,2138
121137,13,431,170,5,55,392,22,1,3,8,1146,2227
121138,4,405,197,14,48,445,25,2,1,7,1207,2276
121140,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121141,13,405,108,11,42,361,21,1,5,4,1043,2339
121142,13,307,113,13,52,408,28,1,0,5,976,2320
121143,17,360,76,12,42,320,19,1,3,2,899,1981
121144,20,337,71,11,45,286,13,0,4,0,830,1893
121145,8,393,70,10,47,323,22,0,1,1,917,1774
121146,10,479,107,16,46,376,1,0,3,4,1126,2277
121147,17,394,110,13,43,371,16,3,2,1,1031,2301
121148,11,338,88,21,34,321,19,0,4,5,899,2247
121149,12,333,131,16,52,325,27,0,1,8,977,2176
121150,20,297,61,13,33,286,14,1,2,3,769,2074
121151,8,308,56,24,24,218,14,1,2,3,702,1812
121152,8,294,69,18,38,207,16,2,2,0,697,1861
121153,11,333,57,18,40,182,19,2,3,6,698,1807
121154,5,266,59,12,44,280,31,3,4,7,771,2149
121155,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121156,4,196,49,17,22,152,23,0,3,1,503,1813
121157,11,178,31,10,25,228,21,0,1,5,541,1660
121158,10,458,75,12,30,270,5,4,1,1,921,1795
121159,0,33,12,2,2,35,0,1,2,0,93,93
121160,3,64,93,2,0,79,0,2,0,0,272,282
121161,0,23,9,1,5,17,1,0,0,0,66,66
121162,11,328,71,16,48,434,12,3,0,7,975,1755
121163,20,343,85,17,73,451,26,0,3,7,1070,1815
121164,7,236,69,8,42,353,11,2,4,11,774,1607
121165,11,274,78,21,45,350,19,1,2,5,845,1525
121166,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121167,7,190,147,6,30,293,9,3,3,3,729,1576
121169,13,286,54,14,34,380,8,0,1,7,827,1617
121170,9,289,87,16,57,478,11,1,3,9,1002,2009
121171,7,159,109,12,30,267,2,0,7,3,643,1544
121172,10,275,78,16,40,288,16,2,3,7,779,1509
121173,13,257,110,9,34,347,11,3,2,8,842,1738
121174,9,252,93,4,38,410,6,2,5,4,889,1917
121175,21,214,129,6,31,339,10,1,2,5,810,1772
121176,10,209,104,16,22,344,11,6,1,5,825,2015
121177,8,260,87,13,33,287,15,0,1,3,747,1721
121178,8,284,64,7,23,278,8,1,0,2,712,1601
121179,8,251,54,9,22,269,11,0,1,0,655,1622
121180,9,267,83,13,43,419,18,0,4,4,916,1981
121181,10,285,78,12,41,360,17,2,1,5,857,2023
121182,4,179,42,14,33,241,10,4,10,3,608,1107
121183,11,139,100,12,36,218,5,5,15,3,679,1263
121184,12,306,92,7,42,457,17,0,1,14,991,2216
121185,9,221,150,19,28,310,11,4,6,9,844,1960
121186,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,
121187,10,332,89,8,52,442,12,2,4,7,1019,2071
121188,10,179,214,14,36,234,6,5,11,4,818,2092
121189,8,305,83,12,45,386,20,1,0,3,913,1889
121190,8,102,127,15,26,245,14,3,2,1,609,1871
121191,6,218,283,8,26,291,9,9,8,2,955,2218
121192,7,306,71,20,31,435,17,0,2,25,962,2097
121193,6,385,110,21,41,508,11,1,2,15,1154,2300
121194,3,313,98,6,26,392,12,0,1,17,913,1773
121195,16,378,110,7,44,442,5,1,3,8,1053,2086
121196,3,327,89,15,31,375,10,0,3,2,899,1844
121197,4,317,104,12,25,357,15,3,1,5,887,1832
121198,9,426,79,8,48,500,15,0,1,5,1144,2209
121199,7,433,76,11,34,552,12,1,2,12,1208,2231
121200,7,450,86,18,49,578,17,0,3,2,1254,2222
121201,13,427,93,21,40,498,19,0,0,6,1168,2112
121202,17,381,114,16,36,428,16,1,5,3,1066,1978
121203,11,346,93,23,50,430,16,4,3,3,1036,1858
121204,6,429,92,19,40,590,12,2,0,6,1255,2231
121205,9,367,102,11,28,487,8,0,3,2,1067,1929
121206,8,329,88,8,45,394,7,0,2,1,930,1926
