Виборча дільниця,БАЛУТА Ігор Миронович,ВЕЙДЕР Дарт Олегович,ДАВТЯН Олександр Саркісович,КЕРНЕС Геннадій Адольфович,КРОЛЬ Юрій Якович,МЕРКУЛОВА Ганна Олександрівна,РОДЗИНСЬКИЙ Анатолій Анатолійович,САПРОНОВ Юрій Анатолійович,СІТЕНКО Тарас Олександрович,ХОДОС Едуард Давидович,ШВАЙКА Ігор Олександрович,Взяло участь у голосуванні,Виборців у списку
631089,49,11,38,674,0,3,31,45,147,4,10,1029,2112
631090,50,7,26,696,2,4,26,46,120,13,14,1019,2008
631091,60,5,39,666,4,2,36,38,115,6,9,994,1942
631092,47,4,47,667,1,7,31,45,110,9,12,990,1942
631093,48,3,54,670,0,4,43,39,100,3,11,988,2001
631094,42,7,43,610,1,4,24,51,131,2,17,956,1944
631095,42,26,19,385,2,14,24,45,94,9,11,702,2238
631096,39,33,37,303,2,10,17,43,126,8,16,673,1988
631097,30,62,31,434,2,12,12,33,116,7,12,777,2218
631099,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,,
631100,51,25,27,459,4,7,13,44,102,6,10,769,2068
631101,38,5,44,695,0,5,37,81,127,5,12,1065,2247
631102,42,4,40,609,3,3,26,47,160,3,17,972,2094
631103,41,9,44,663,3,3,25,58,133,8,8,1011,2002
631104,53,9,41,668,3,4,18,53,127,2,10,993,2064
631105,60,5,32,656,0,3,36,84,122,4,13,1030,1966
631106,64,5,39,594,3,10,29,64,118,7,10,955,1982
631107,47,11,44,614,1,4,37,64,158,8,15,1022,2233
631108,32,70,34,426,5,13,14,31,76,11,11,751,2300
631109,50,6,47,650,1,10,22,39,120,4,10,972,2079
631110,67,4,51,557,2,5,34,53,143,4,15,946,1845
631111,18,32,25,235,1,8,12,13,60,3,13,448,2268
631112,53,3,39,687,1,2,35,76,181,1,14,1114,2243
631113,64,7,48,637,2,3,47,80,147,5,9,1063,2230
631114,57,3,46,485,0,4,18,62,164,5,9,866,1876
631115,82,9,33,730,0,3,50,95,176,5,19,1220,2268
631116,46,4,33,654,0,3,29,53,118,5,12,972,1859
631117,45,8,39,632,1,3,32,50,130,6,20,976,2102
631118,60,3,37,695,2,3,41,54,119,4,12,2041,2099
631119,38,4,35,538,2,4,29,42,145,0,12,869,1773
631120,48,8,42,590,1,6,30,59,154,9,13,969,1915
631121,39,7,42,704,0,1,21,43,153,3,15,1043,2039
631122,45,7,33,505,1,2,31,49,107,7,15,814,1696
631123,62,5,45,773,1,7,37,66,216,8,12,1250,2311
631124,34,5,42,506,2,7,10,33,99,12,8,765,1970
631125,58,6,49,611,2,6,32,50,172,8,10,1015,1906
631126,61,4,30,504,2,6,31,43,141,4,12,858,1776
631127,63,7,40,545,1,5,43,40,141,6,7,913,1863
631128,52,8,47,559,4,3,32,44,122,3,8,899,1873
631129,77,10,36,552,1,3,47,68,177,8,18,1007,1852
631130,58,9,45,508,1,0,30,163,39,2,13,879,1644
631131,78,5,34,560,2,2,42,70,137,8,12,967,1822
631132,46,7,41,432,2,2,34,53,117,7,12,766,1613
631133,55,5,31,413,1,3,16,43,119,1,7,703,1427
631134,56,1,31,456,1,5,32,64,123,3,7,794,1805
631135,87,4,36,455,1,4,20,60,139,5,11,835,1603
631136,86,9,34,422,1,6,29,56,155,9,12,828,1515
631137,84,9,53,576,4,4,31,74,189,7,20,1062,2167
631138,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,,
631139,69,11,51,558,0,6,24,46,133,6,17,941,2104
631140,67,6,26,467,0,2,20,54,144,8,14,817,2140
631141,85,9,67,566,1,6,52,85,220,8,8,1116,2291
631142,43,5,52,538,3,3,23,56,130,6,13,883,1869
631143,36,5,44,574,1,5,19,45,109,5,14,874,2269
631144,47,6,47,521,2,3,19,23,103,4,14,797,1996
631145,30,35,19,273,4,10,7,50,129,4,16,602,2193
631146,27,41,24,298,2,19,6,24,89,5,5,572,1969
631147,12,43,26,231,1,9,11,23,39,6,13,439,2149
631148,74,6,59,580,2,6,45,60,175,3,14,1035,2051
631149,56,17,58,625,1,11,30,84,214,4,15,1129,2089
631150,84,4,77,676,2,4,53,85,213,12,13,1237,2203
