Виборча дільниця,БОРОВИК Олександр Валерійович,БРЕЛЬ Олександр Сергійович,ВОЛОШЕНКОВ Дмитро Борисович,ГУРВІЦ Едуард Йосипович,ДАРТ Вейдер Миколайович,КИРИЛЕНКО Павло Веніамінович,КІВАЛОВ Сергій Васильович,ТРУХАНОВ Геннадій Леонідович,ФАБРИКАНТ Світлана Самуілівна,Взяло участь у голосуванні,Виборців у списку
511073,181,1,1,66,14,5,51,596,54,1005,2210
511074,210,1,3,63,29,2,56,657,54,1107,2343
511075,222,2,1,58,25,6,57,568,41,1015,2343
511076,244,1,0,55,16,5,83,620,49,1114,2322
511078,211,4,2,52,13,9,44,417,29,817,2229
511079,184,0,3,51,15,3,47,378,35,750,2130
511080,173,1,0,52,10,3,36,324,28,650,1919
511081,184,1,3,74,17,6,66,395,25,812,2000
511083,261,2,0,59,16,7,47,490,22,7,2169
511084,157,0,1,48,13,4,29,479,11,775,1716
511085,245,1,2,56,14,7,50,545,17,950,2381
511086,259,0,3,57,9,11,61,501,26,950,2414
511087,249,2,5,60,15,8,56,619,16,1068,2375
511088,220,1,2,58,18,7,55,418,17,818,2297
511089,258,0,0,52,10,3,54,276,20,699,2307
511090,250,3,2,72,13,10,68,261,35,741,2292
511091,230,1,3,50,8,7,51,235,29,632,2402
511092,240,15,4,61,7,6,54,411,25,845,2226
511093,270,2,2,97,15,5,50,413,34,922,2205
511094,249,2,1,36,42,2,53,310,19,744,2156
511095,315,2,3,91,28,6,41,428,26,965,2266
511096,192,2,1,41,9,7,38,225,22,553,1757
511097,155,1,1,36,10,1,29,202,11,469,1468
511098,218,1,1,44,34,6,39,193,18,608,2258
511099,220,2,2,65,11,7,53,308,33,736,2391
511100,239,1,1,44,6,1,26,231,0,618,2400
511101,135,1,1,36,4,9,41,200,19,476,1537
511102,122,0,1,45,9,8,38,243,15,503,1672
511103,244,3,3,65,17,7,35,498,26,932,2310
511104,249,0,2,58,17,6,27,506,34,927,2265
511105,263,0,2,54,29,9,46,296,20,738,2203
511106,274,3,2,60,22,5,47,469,40,961,2260
511107,242,1,2,78,18,7,36,456,40,926,2219
511108,276,1,2,60,25,4,43,371,20,823,2183
511109,227,1,2,93,14,9,40,416,24,856,2279
511110,213,0,3,65,12,2,28,421,27,802,2041
511111,243,0,1,71,33,3,37,431,34,887,2009
511112,261,0,3,88,18,8,53,414,32,918,2101
511113,235,0,3,81,28,9,35,407,22,848,2100
511114,245,2,1,76,19,6,65,450,29,938,2178
511115,279,1,5,60,15,5,51,317,40,810,2152
511116,261,1,4,58,23,3,54,423,34,900,2090
511117,293,0,2,73,22,11,53,314,33,849,2323
511118,236,1,1,98,41,6,47,405,38,919,2273
511119,222,1,2,90,15,6,34,398,28,831,2074
511120,271,0,2,69,22,7,30,428,32,826,2257
511121,233,1,3,75,12,10,35,399,23,824,2268
511123,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,
511124,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,
511125,169,1,3,52,8,2,36,495,17,812,2300
511126,250,1,3,77,24,2,38,513,36,987,2260
511127,213,3,1,59,11,3,59,492,39,904,1993
511128,248,2,2,65,19,3,34,618,30,1058,2328
511129,265,2,1,84,11,9,29,471,24,920,2238
511130,198,2,4,57,22,12,52,514,34,920,2037
511131,156,1,2,64,16,5,48,431,24,772,1834
511132,237,2,0,87,11,7,49,526,41,989,2207
511133,236,1,3,58,20,8,36,512,34,968,2250
511134,235,1,1,87,23,2,51,480,47,968,2033
511135,254,0,5,81,17,3,43,467,39,951,2201
511136,228,0,1,61,18,12,37,374,33,764,2289
511137,259,0,5,75,22,6,37,485,25,941,2300
511138,189,1,0,47,29,9,43,317,52,725,2391
511139,250,3,3,65,27,5,46,607,29,1071,2360
511141,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,
511142,219,1,1,80,23,10,48,512,24,962,2258
511143,247,5,3,81,17,4,57,527,37,1016,2163
511144,221,2,2,92,13,7,54,599,50,1089,2196
511145,218,2,0,58,18,3,42,318,28,715,1938
511146,168,2,4,68,17,4,49,412,19,776,2096
511147,219,1,2,72,17,2,51,394,34,819,2080
511148,192,2,1,56,15,6,40,380,31,752,2092
511149,228,1,4,77,11,5,47,398,33,830,1994
511150,187,2,1,62,11,8,41,354,26,722,1828
511151,195,1,2,54,14,3,42,393,33,763,1972
511152,15,1,0,2,0,0,5,33,2,64,118
511153,1,1,0,2,0,0,1,6,1,12,26
511154,8,0,0,6,1,0,2,32,1,54,67
511155,4,0,0,5,0,0,0,0,0,23,38
511437,228,0,1,68,8,0,23,265,18,631,1527
511157,5,0,0,2,0,2,1,14,1,27,62
511158,4,0,0,0,0,0,0,4,1,11,19
511159,283,2,1,66,14,6,87,594,27,1112,2355
511160,207,1,5,42,22,6,85,557,15,976,2251
511161,118,0,3,20,7,3,43,287,8,509,1777
511162,137,1,4,32,0,9,38,328,16,580,1840
511164,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,
511165,203,2,6,55,14,8,51,403,34,809,1919
511166,220,0,2,70,8,5,111,470,33,970,2257
511167,216,1,2,83,15,8,140,503,31,1031,2312
511168,186,0,1,76,21,7,133,496,24,1000,2330
511169,151,0,3,52,15,8,92,436,30,828,2283
511170,215,6,1,72,14,6,57,479,42,926,2276
511171,159,0,3,50,3,3,49,308,20,617,1530
511172,209,4,8,64,13,4,45,440,40,873,2052
511173,190,0,3,66,8,0,72,336,18,718,1816
511174,142,1,3,54,8,1,43,230,16,517,1376
511175,233,1,1,81,9,9,65,514,39,994,2213
511176,213,2,2,69,18,6,66,479,36,925,2048
511177,210,2,1,66,17,5,55,492,24,901,2212
511178,206,1,2,63,12,2,44,414,28,795,1887
511179,226,0,2,59,13,6,46,363,27,770,1933
511180,235,0,5,77,11,5,51,473,48,951,2210
511181,173,1,1,52,14,4,29,262,28,589,1654
511182,183,0,4,63,14,7,47,444,39,834,2217
511183,163,0,3,34,15,6,45,317,19,623,1626
511184,213,0,2,59,14,8,50,392,37,806,1849
511185,55,0,0,14,9,3,23,145,12,278,943
511186,87,0,1,27,10,2,27,104,10,290,2207
511187,197,3,2,68,16,3,38,391,26,764,2334
511188,194,1,4,40,11,7,38,305,27,643,1391
511190,193,3,2,84,12,5,47,481,29,894,2306
511191,235,1,2,74,15,4,69,447,26,912,2298
511192,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,
511193,94,0,0,35,3,2,48,255,8,467,1020
511194,209,0,1,84,18,3,49,364,26,789,2435
511195,230,1,3,75,17,3,38,330,38,779,2472
511196,259,0,2,85,11,3,41,486,47,960,2493
511197,268,1,1,78,14,7,47,442,53,934,2388
511198,210,1,1,56,9,4,31,248,24,609,2296
511199,133,2,2,39,8,2,27,256,33,520,1341
511200,200,0,0,57,12,6,32,357,35,733,2427
511201,218,0,2,54,9,9,42,375,19,765,2356
511202,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,
511203,242,0,0,64,15,3,64,443,38,903,2302
511206,151,1,1,71,12,4,42,547,36,910,2230
511207,198,0,2,59,10,2,48,413,30,792,2339
511208,251,0,6,48,17,8,32,537,35,963,2370
511209,55,0,0,27,4,5,26,219,8,369,1461
511210,135,0,0,43,14,6,29,275,25,564,2074
511211,87,0,1,26,7,4,20,261,15,443,1840
511212,162,2,0,39,9,6,34,276,14,563,2141
511213,149,1,1,35,9,6,47,345,21,634,2456
511214,147,2,0,33,7,7,36,301,29,608,2414
511215,167,0,3,61,12,1,30,374,37,724,2394
511216,184,0,0,44,14,12,36,242,26,596,2319
511217,9,0,0,3,1,0,3,37,0,54,170
