Виборча дільниця,СПРАВЕДЛИВІСТЬ,ВІДРОДЖЕННЯ,РАДИКАЛЬНА ПАРТІЯ,ВІДРОДЖЕННЯ УКРАЇНИ,СВОБОДА,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,БЛОК ПЕТРА ПОРОШЕНКА 'СОЛІДАРНІСТЬ',НАЦІОНАЛЬНА ДЕМОКРАТИЧНА ПАРТІЯ,ОПОЗИЦІЙНИЙ БЛОК,ДЕМАЛЬЯНС,РІДНА КРАЇНА,УКРОП,ГРОМАДЯНСЬКА ПОЗИЦІЯ,САМОПОМІЧ,НАШ КРАЙ,БАТЬКІВЩИНА,НАРОДНИЙ КОНТРОЛЬ,ГРОМАДСЬКА СИЛА,СОЦІАЛІСТИ,ПРОСТИХ ЛЮДЕЙ,Взяло участь у голосуванні,Виборців у списку
121046,4,17,27,4,17,11,86,1,292,12,1,372,6,75,12,42,6,50,9,12,1080,2288
121047,0,62,51,4,7,11,33,2,177,2,1,81,4,19,16,22,7,21,2,7,564,1710
121048,4,40,50,7,20,12,33,0,227,5,0,125,3,25,10,36,13,58,2,10,700,2328
121049,7,51,80,9,17,13,50,0,241,2,2,151,0,49,6,45,9,83,6,7,865,2221
121050,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,,,,,,,,,,,
121051,8,58,34,5,22,15,35,0,254,5,0,150,3,47,10,50,8,33,1,18,783,2284
121052,4,42,36,10,10,8,32,0,214,4,2,176,8,47,3,35,11,45,7,14,740,2470
121053,Ми очікуємо на інформацію від спостерігача,,,,,,,,,,,,,,,,,,,,,
121054,8,20,37,1,18,11,51,2,212,6,1,168,4,28,9,33,16,93,2,7,755,2443
121055,5,51,29,2,15,14,35,0,249,11,2,178,7,30,9,31,12,65,3,10,777,2307
121056,3,29,18,4,19,14,61,1,335,8,2,285,25,73,10,36,20,128,5,9,1129,2331
121057,6,17,31,2,16,17,47,1,283,12,1,215,23,69,15,34,18,117,8,9,969,2285
121058,2,19,16,6,17,35,65,0,298,10,3,281,22,86,13,32,59,125,2,20,1143,2329
121059,3,52,12,4,8,26,70,2,287,15,2,245,7,86,9,36,17,196,7,14,1127,2346
121060,6,48,14,4,21,13,50,0,339,4,1,220,6,62,4,40,6,201,4,11,1092,2263
121061,4,54,23,5,15,21,54,3,328,7,1,217,12,43,5,32,11,217,13,7,1112,2302
121062,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,,,,,,,,,,,
121063,4,32,21,8,11,13,39,1,295,1,5,160,7,23,11,34,11,111,4,14,838,2367
121064,4,18,9,8,3,13,143,1,198,2,4,79,3,33,9,9,9,80,2,7,669,1993
121065,2,21,19,8,5,15,140,2,204,7,3,184,4,37,29,26,5,69,5,9,820,2251
121066,4,17,34,2,10,8,144,3,272,7,2,211,3,39,16,32,8,57,7,28,940,2355
121067,6,9,15,6,15,17,51,0,272,10,1,208,5,43,6,33,7,92,3,10,836,2286
