Виборча дільниця,СИЛА ЛЮДЕЙ,ВОЛОНТЕРСЬКА ПАРТІЯ,БЛОК ДАРТА ВЕЙДЕРА,СВОБОДА,СОЦІАЛІСТИ,НАРОДНИЙ КОНТРОЛЬ,ДЕМАЛЬЯНС,НАЦІОНАЛЬНА ДЕМОКРАТИЧНА ПАРТІЯ,ПАРТІЇ ПЕНСІОНЕРІВ,НОВА ПОЛІТИКА,СИЛЬНА УКРАЇНА,БЛОК ПЕТРА ПОРОШЕНКА 'СОЛІДАРНІСТЬ',САМОПОМІЧ,ВІДРОДЖЕННЯ,НАШ КРАЙ,УКРОП,РАДИКАЛЬНОЇ ПАРТІЇ,БАТЬКІВЩИНА,ПАРТІЇ '5.10',НОВА ДЕРЖАВА,Взяло участь у голосуванні,Виборців у списку
631089,33,22,8,12,5,21,13,4,9,2,4,56,144,571,41,9,15,32,4,8,1029,2112
631090,13,31,7,18,9,12,7,1,15,0,6,45,111,589,42,14,40,34,10,25,1019,2008
631091,11,25,8,20,9,20,12,1,14,0,5,87,103,573,25,7,8,26,8,10,994,1942
631092,20,34,12,21,3,24,13,0,9,0,8,57,95,578,26,12,14,21,4,17,990,1942
631093,8,11,8,16,3,34,9,1,9,1,3,80,111,569,30,23,10,33,3,10,988,2001
631094,10,19,4,25,2,29,11,0,13,0,3,64,127,524,27,9,8,28,9,20,956,1944
631095,9,33,18,12,11,14,34,1,5,5,6,41,78,275,59,23,6,10,14,12,702,2238
631096,12,15,20,11,3,12,14,0,4,0,4,62,101,184,38,130,6,10,10,11,673,1988
631097,9,20,63,16,2,12,27,1,6,0,7,42,88,337,47,36,10,11,11,3,777,2218
631099,"Ми маємо підстави не довіряти даним, що отримали з дільниці",,,,,,,,,,,,,,,,,,,,,
631100,9,25,25,16,6,12,6,1,8,1,1,54,95,379,46,23,8,17,8,10,769,2068
631101,8,22,7,27,7,43,8,0,14,1,8,65,109,571,31,24,20,41,16,21,1065,2247
631102,2,38,5,26,14,28,9,1,11,0,3,55,135,517,25,15,13,36,4,10,972,2094
631103,1,24,11,14,11,16,16,0,17,0,3,63,127,585,17,17,20,24,5,15,1011,2002
631104,9,26,7,20,7,18,10,1,17,0,9,54,144,564,37,7,10,21,2,14,993,2064
631105,12,23,6,18,9,32,10,2,13,0,3,69,132,530,34,19,11,36,7,39,1030,1966
631106,14,31,8,17,9,24,19,2,15,0,6,71,122,477,39,16,12,22,5,23,955,1982
631107,2,26,8,30,6,35,11,0,7,0,6,69,124,530,41,16,10,64,3,11,1022,2233
631108,9,19,70,14,2,5,9,3,9,4,9,67,70,324,43,26,10,9,7,3,751,2300
631109,10,30,6,19,5,28,8,2,13,0,3,60,133,516,49,12,21,20,5,13,972,2079
631110,6,29,5,24,6,38,5,0,8,2,4,87,126,463,49,6,18,31,3,15,946,1845
631111,5,12,25,13,2,3,16,0,0,1,2,34,49,189,15,23,6,6,14,1,448,2268
631112,3,29,5,16,3,37,5,1,21,1,8,62,206,567,35,9,14,42,6,19,1114,2243
631113,4,49,11,13,9,38,10,1,13,2,4,67,167,519,37,20,12,18,6,37,1063,2230
631114,8,20,8,16,7,22,6,0,12,1,8,54,165,402,31,15,11,41,4,22,866,1876
