Виборча дільниця,ВІДРОДЖЕННЯ,ПАРТІЯ '5.10',ПАРТІЯ ПЕНСІОНЕРІВ,ДЕМАЛЬЯНС,ПАРТІЯ 'ПАТРІОТ',БАТЬКІВЩИНА,БЛОК ПЕТРА ПОРОШЕНКА 'СОЛІДАРНІСТЬ',БЛОК ДАРТА ВЕЙДЕРА,УКРАЇНСЬКУ МОРСЬКУ ПАРТІЮ,ДОВІРЯЙ ДІЛАМ,НАШ КРАЙ,САМОПОМІЧ,СВОБОДУ,РАДИКАЛЬНУ ПАРТІЮ,УКРОП,ОПОЗИЦІЙНИЙ БЛОК,МОЛОДЬ ДО ВЛАДИ,АГРАРНОЇ ПАРТІЇ,СОЦІАЛІСТИ,НОВА ДЕРЖАВА,Взяло участь у голосуванні,Виборців у списку
511073,57,4,7,12,1,26,114,16,46,491,10,37,14,3,10,112,0,7,2,8,1005,2210
511074,125,2,6,13,2,32,127,30,98,380,2,40,15,5,12,173,2,7,0,7,1107,2343
511075,57,4,5,17,4,20,153,30,120,309,2,44,13,6,15,178,3,5,1,1,1015,2343
511076,133,2,5,13,4,19,145,18,141,329,9,34,21,12,10,177,4,4,1,11,1114,2322
511078,27,3,6,13,5,36,129,13,54,274,3,44,14,17,14,112,2,5,2,3,817,2229
511079,48,2,10,17,1,29,134,25,59,209,6,24,16,10,10,120,1,0,1,5,750,2130
511080,23,5,5,10,1,26,119,26,45,186,7,31,6,8,15,118,2,2,0,1,650,1919
511081,31,2,10,15,3,28,117,19,70,202,6,44,10,10,14,187,1,4,2,2,812,2000
511083,19,6,8,21,2,36,152,27,56,319,13,46,14,19,17,147,3,4,1,2,937,2169
511084,13,2,5,11,4,11,107,26,28,367,1,39,20,6,4,94,1,4,0,3,775,1716
511085,22,2,4,38,2,30,126,19,51,455,7,62,26,4,16,64,1,2,1,3,950,2381
511086,25,1,3,33,2,24,137,16,30,463,6,43,21,18,25,80,3,6,1,0,950,2414
511087,23,4,5,28,7,35,152,15,46,505,8,50,21,11,16,109,4,0,1,2,1068,2375
511088,16,4,7,11,2,26,141,16,66,309,5,62,20,20,11,73,1,4,1,0,818,2297
511089,23,7,3,20,1,41,169,16,55,136,5,34,14,16,22,111,0,3,0,2,699,2307
511090,40,1,6,12,5,50,127,22,80,123,6,44,29,33,17,111,1,5,3,6,741,2292
