region,party,type_id
Вінницька міська рада,Аграрна партія України,1
Вінницька міська рада,БПП Солідарність,1
Вінницька міська рада,Вінницька європейська стратегія,1
Вінницька міська рада,ВО Батьківщина,1
Вінницька міська рада,ВО Свобода,0
Вінницька міська рада,Громадянська позиція,0
Вінницька міська рада,Європейська партія України,1
Вінницька міська рада,Народний контроль,0
Вінницька міська рада,Народний рух України,1
Вінницька міська рада,Наш край,0
Вінницька міська рада,Опозиційний блок,0
Вінницька міська рада,Партія пенсіонерів України,1
Вінницька міська рада,Радикальна партія Олега Ляшка,1
Вінницька міська рада,Самопоміч,1
Вінницька міська рада,Сила людей,2
Вінницька міська рада,Соціалісти,0
Вінницька міська рада,УКРОП,1
Вінницька міська рада,УНА-УНСО,3
Дніпропетровська міська рада,Демократичний альянс,4
Дніпропетровська міська рада,Відродження,4
Дніпропетровська міська рада,Соціалісти,0
Дніпропетровська міська рада,БПП Солідарність,1
Дніпропетровська міська рада,ВО Батьківщина,2
Дніпропетровська міська рада,ВО Відродження України,4
Дніпропетровська міська рада,ВО Свобода,0
Дніпропетровська міська рада,Громадська сила,2
Дніпропетровська міська рада,Громадянська позиція,0
Дніпропетровська міська рада,Народний контроль,2
Дніпропетровська міська рада,Національна демократична партія України,0
Дніпропетровська міська рада,Наш край,1
Дніпропетровська міська рада,Опозиційний блок,1
Дніпропетровська міська рада,Партія простих людей Сергія Капліна,2
Дніпропетровська міська рада,Радикальна партія Олега Ляшка,2
Дніпропетровська міська рада,Республіканська платформа,0
Дніпропетровська міська рада,Рідна країна,4
Дніпропетровська міська рада,Самопоміч,2
Дніпропетровська міська рада,Справедливість,2
Дніпропетровська міська рада,УКРОП,2
Житомирська міська рада,"Політична партія ""5.10""",0
Житомирська міська рада,Аграрна партія України,0
Житомирська міська рада,БПП Солідарність,1
Житомирська міська рада,ВО Батьківщина,1
Житомирська міська рада,ВО Свобода,0
Житомирська міська рада,Народний контроль,1
Житомирська міська рада,Наш край,0
Житомирська міська рада,Нова держава,0
Житомирська міська рада,Опозиційний блок,0
Житомирська міська рада,Партія ветеранів Афганістану,0
Житомирська міська рада,Партія захисників Вітчизни,0
Житомирська міська рада,Партія зелених України,0
Житомирська міська рада,Партія простих людей Сергія Капліна,1
Житомирська міська рада,Патріотична партія України,0
Житомирська міська рада,Радикальна партія Олега Ляшка,1
Житомирська міська рада,Республіканська платформа,0
Житомирська міська рада,Самопоміч,1
Житомирська міська рада,Сила людей,4
Житомирська міська рада,УКРОП,1
Запорізька міська рада,Блок Дарта Вейдера,0
Запорізька міська рада,БПП Солідарність,1
Запорізька міська рада,Відродження,0
Запорізька міська рада,ВО Батьківщина,0
Запорізька міська рада,ВО Свобода,4
Запорізька міська рада,Громадянська позиція,2
Запорізька міська рада,Демократичний альянс,2
Запорізька міська рада,Ліберальна партія України,1
Запорізька міська рада,Народний контроль,2
Запорізька міська рада,Народний рух України,0
Запорізька міська рада,Наш край,1
Запорізька міська рада,Нова політика,1
Запорізька міська рада,Опозиційний блок,0
Запорізька міська рада,Офіцерський корпус,1
Запорізька міська рада,Партія пенсіонерів України,1
Запорізька міська рада,"Партія Сергія Тігіпка ""Сильна Україна""",1
Запорізька міська рада,Радикальна партія Олега Ляшка,1
Запорізька міська рада,Самопоміч,1
Запорізька міська рада,Сила громад,1
Запорізька міська рада,Сила людей,1
Запорізька міська рада,Спільна дія,1
Запорізька міська рада,Справедливість,1
Запорізька міська рада,УКРОП,1
Івано-Франківська міська рада,БПП Солідарність,1
Івано-Франківська міська рада,ВО Батьківщина,1
Івано-Франківська міська рада,ВО Свобода,0
Івано-Франківська міська рада,Воля,1
Івано-Франківська міська рада,Громадянська позиція,0
Івано-Франківська міська рада,Народний контроль,0
Івано-Франківська міська рада,Народний рух України,0
Івано-Франківська міська рада,Наш край,0
Івано-Франківська міська рада,Опозиційний блок,0
Івано-Франківська міська рада,Партія простих людей Сергія Капліна,0
Івано-Франківська міська рада,Патріот,0
