region,party,type_id
Вінницька обласна рада,Аграрна партія України,1.0
Вінницька обласна рада,БПП Солідарність,1.0
Вінницька обласна рада,ВО Батьківщина,1.0
Вінницька обласна рада,ВО Свобода,1.0
Вінницька обласна рада,Народний контроль,1.0
Вінницька обласна рада,Наш край,1.0
Вінницька обласна рада,Нова держава,0.0
Вінницька обласна рада,Опозиційний блок,1.0
Вінницька обласна рада,Радикальна партія Олега Ляшка,1.0
Вінницька обласна рада,Самопоміч,1.0
Вінницька обласна рада,Соціалісти,0.0
Вінницька обласна рада,УКРОП,1.0
Волинська обласна рада,Аграрна партія України,1.0
Волинська обласна рада,БПП Солідарність,1.0
Волинська обласна рада,ВО Батьківщина,1.0
Волинська обласна рада,ВО Свобода,1.0
Волинська обласна рада,Громадянська позиція,1.0
Волинська обласна рада,Європейська партія України,0.0
Волинська обласна рада,Народний контроль,1.0
Волинська обласна рада,Наш край,1.0
Волинська обласна рада,Нова держава,0.0
Волинська обласна рада,Опозиційний блок,1.0
Волинська обласна рада,Партія зелених України,0.0
Волинська обласна рада,Партія зелених України,1.0
Волинська обласна рада,Радикальна партія Олега Ляшка,1.0
Волинська обласна рада,Самопоміч,1.0
Волинська обласна рада,УКРОП,1.0
Дніпропетровська обласна рада,БПП Солідарність,1.0
Дніпропетровська обласна рада,Відродження,1.0
Дніпропетровська обласна рада,ВО Батьківщина,1.0
Дніпропетровська обласна рада,ВО Відродження України,1.0
Дніпропетровська обласна рада,ВО Свобода,1.0
Дніпропетровська обласна рада,Громадська сила,1.0
Дніпропетровська обласна рада,Народний контроль,1.0
Дніпропетровська обласна рада,Наш край,1.0
Дніпропетровська обласна рада,Опозиційний блок,1.0
Дніпропетровська обласна рада,Радикальна партія Олега Ляшка,1.0
Дніпропетровська обласна рада,Самопоміч,1.0
Дніпропетровська обласна рада,Соціалісти,1.0
Дніпропетровська обласна рада,УКРОП,1.0
Житомирська обласна рада,Аграрна партія України,1.0
Житомирська обласна рада,БПП Солідарність,1.0
Житомирська обласна рада,Відродження,1.0
Житомирська обласна рада,ВО Батьківщина,1.0
Житомирська обласна рада,ВО Свобода,1.0
Житомирська обласна рада,Народна партія,1.0
Житомирська обласна рада,Наш край,1.0
Житомирська обласна рада,Нова держава,1.0
Житомирська обласна рада,Опозиційний блок,1.0
Житомирська обласна рада,Партія простих людей Сергія Капліна,1.0
Житомирська обласна рада,Патріотична партія України,2.0
Житомирська обласна рада,Радикальна партія Олега Ляшка,1.0
Житомирська обласна рада,Республіканська платформа,1.0
Житомирська обласна рада,Самопоміч,1.0
Житомирська обласна рада,Соціалісти,0.0
Житомирська обласна рада,УКРОП,1.0
Закарпатська обласна рада,Аграрна партія України,0.0
Закарпатська обласна рада,БПП Солідарність,1.0
Закарпатська обласна рада,Відродження,1.0
Закарпатська обласна рада,ВО Батьківщина,0.0
Закарпатська обласна рада,ВО Свобода,1.0
Закарпатська обласна рада,Єдиний Центр,1.0
Закарпатська обласна рада,За Права Людини,0.0
Закарпатська обласна рада,Зелена планета,0.0
Закарпатська обласна рада,КМКС Партія угорців України,2.0
Закарпатська обласна рада,Наш край,0.0
Закарпатська обласна рада,Опозиційний блок,2.0
Закарпатська обласна рада,Радикальна партія Олега Ляшка,1.0
Закарпатська обласна рада,Самопоміч,1.0
Закарпатська обласна рада,Соціалісти,0.0
Закарпатська обласна рада,Спільна дія,0.0
Закарпатська обласна рада,УКРОП,1.0
Запорізька обласна рада,Аграрна партія України,1.0
Запорізька обласна рада,БПП Солідарність,1.0
Запорізька обласна рада,Відродження,1.0
Запорізька обласна рада,ВО Батьківщина,1.0
Запорізька обласна рада,ВО Свобода,1.0
Запорізька обласна рада,Наш край,1.0
Запорізька обласна рада,Нова політика,1.0
Запорізька обласна рада,Опозиційний блок,1.0
Запорізька обласна рада,"Партія Сергія Тігіпка ""Сильна Україна""",1.0
Запорізька обласна рада,Радикальна партія Олега Ляшка,1.0
Запорізька обласна рада,Самопоміч,1.0
Запорізька обласна рада,Соціалісти,0.0
Запорізька обласна рада,УКРОП,1.0
Івано-Франківська обласна рада,БПП Солідарність,1.0
Івано-Франківська обласна рада,ВО Батьківщина,1.0
Івано-Франківська обласна рада,ВО Свобода,0.0
Івано-Франківська обласна рада,Воля,1.0
Івано-Франківська обласна рада,Громадянська позиція,1.0
Івано-Франківська обласна рада,Народний контроль,1.0
Івано-Франківська обласна рада,Народний рух України,2.0
Івано-Франківська обласна рада,Наш край,1.0
Івано-Франківська обласна рада,Опозиційний блок,1.0
Івано-Франківська обласна рада,Радикальна партія Олега Ляшка,4.0
Івано-Франківська обласна рада,Самопоміч,1.0
