oblast,raion,gromada,naspunkt,eltype,electiontype
Вінницька,Бершадський район,Шляхівська сільська об’єднана територіальна громада,Шляхівська сільська рада,Шляхівська,Шляхівський сільський голова Бершадського району Вінницької області
Вінницька,Бершадський район,Шляхівська сільська об’єднана територіальна громада,"(села Шляхова, Завітне, Теофілівка),",сільська рада Бершадського району Вінницької області,
Вінницька,Бершадський район,Шляхівська сільська об’єднана територіальна громада,Тирлівська сільська рада,,
Вінницька,Бершадський район,Шляхівська сільська об’єднана територіальна громада,"(село Тирлівка, селище Кавкули)",,
Вінницька,Калинівський район,Іванівська сільська об’єднана територіальна громада,Іванівська сільська рада,Іванівська,Іванівський сільський голова Калинівського району Вінницької області
Вінницька,Калинівський район,Іванівська сільська об’єднана територіальна громада,"(села Іванів, Слобідка), Гущинецька сільська рада",сільська рада Калинівського району Вінницької області,
Вінницька,Калинівський район,Іванівська сільська об’єднана територіальна громада,"(села Гущинці, Кам’яногірка)",,
Вінницька,Козятинський район,Глуховецька селищна об’єднана територіальна громада,Глуховецька селищна рада*,Глуховецька селищна рада Козятинського району Вінницької області,Глуховецький селищний голова Козятинського району Вінницької області
Вінницька,Козятинський район,Глуховецька селищна об’єднана територіальна громада,"(смт Глухівці), Непедівська сільська рада",,
Вінницька,Козятинський район,Глуховецька селищна об’єднана територіальна громада,"(села Непедівка, Гурівці)",,
Вінницька,Липовецький район,Староприлуцька сільська об’єднана територіальна громада,"Староприлуцька сільська рада (село Стара Прилука), Новоприлуцька сільська рада",Староприлуцька сільська рада Липовецького району Вінницької області,Староприлуцький сільський голова Липовецького району Вінницької області
Вінницька,Липовецький район,Староприлуцька сільська об’єднана територіальна громада,(село Нова Прилука),,
Вінницька,Немирівський район,Брацлавська селищна об’єднана територіальна громада,Брацлавська селищна рада,Брацлавська,Брацлавський селищний голова Немирівського району Вінницької області
Вінницька,Немирівський район,Брацлавська селищна об’єднана територіальна громада,"(смт Брацлав), Грабовецька сільська рада (села Грабовець, Гранітне, Сорокодуби), Марксівська сільська рада*",селищна рада Немирівського району Вінницької області,
Вінницька,Немирівський район,Брацлавська селищна об’єднана територіальна громада,"(села Монастирське, Яструбиха)",,
Вінницька,Вінницький та Тиврівський райони,Лука-Мелешківська сільська об’єднана територіальна громада,Вінницький район:,Лука-Мелешківська сільська рада Вінницького району Вінницької області,Лука-Мелешківський сільський голова Вінницького району Вінницької області
Вінницька,Вінницький та Тиврівський райони,Лука-Мелешківська сільська об’єднана територіальна громада,"Лука-Мелешківська сільська рада (села Лука-Мелешківська, Прибузьке, Тютьки), Іванівська сільська рада (села Іванівка, Цвіжин);",,
Вінницька,Вінницький та Тиврівський райони,Лука-Мелешківська сільська об’єднана територіальна громада,Тиврівський район:,,
Вінницька,Вінницький та Тиврівський райони,Лука-Мелешківська сільська об’єднана територіальна громада,Яришівська сільська рада,,
Вінницька,Вінницький та Тиврівський райони,Лука-Мелешківська сільська об’єднана територіальна громада,"(села Яришівка, Лани, Студениця)",,
Вінницька,Гайсинський та Теплицький райони,Краснопільська сільська об’єднана територіальна громада,Гайсинський район: Краснопільська сільська рада,Краснопільська сільська рада Гайсинського району Вінницької області,Краснопільський сільський голова Гайсинського району Вінницької області
Вінницька,Гайсинський та Теплицький райони,Краснопільська сільська об’єднана територіальна громада,"(село Краснопілка), Митківська сільська рада (села Митків, Степове, Тишківка, Тишківська Слобода), Нараївська сільська рада (село Нараївка);",,
Вінницька,Гайсинський та Теплицький райони,Краснопільська сільська об’єднана територіальна громада,Теплицький район:,,
Вінницька,Гайсинський та Теплицький райони,Краснопільська сільська об’єднана територіальна громада,Кивачівська сільська рада,,
Вінницька,Гайсинський та Теплицький райони,Краснопільська сільська об’єднана територіальна громада,"(села Кивачівка, Цвіліхівка, селище Дубина), Тополівська сільська рада (село Тополівка)",,
Вінницька,Липовецький та Оратівський райони,Росошанська сільська об’єднана територіальна громада,Липовецький район:,Росошанська сільська рада Липовецького району Вінницької області,Росошанський сільський голова Липовецького району Вінницької області
Вінницька,Липовецький та Оратівський райони,Росошанська сільська об’єднана територіальна громада,Росошанська сільська рада,,
Вінницька,Липовецький та Оратівський райони,Росошанська сільська об’єднана територіальна громада,"(село Росоша, селище Липовець); Оратівський район:",,
Вінницька,Липовецький та Оратівський райони,Росошанська сільська об’єднана територіальна громада,Очитківська сільська рада,,
Вінницька,Липовецький та Оратівський райони,Росошанська сільська об’єднана територіальна громада,"(села Очитків, Люлинці)",,
Вінницька,Тиврівський та Жмеринський райони,Гніванська міська об’єднана територіальна громада,Тиврівський район:,Гніванська,Гніванський міський голова Тиврівського району Вінницької області
Вінницька,Тиврівський та Жмеринський райони,Гніванська міська об’єднана територіальна громада,Гніванська міська рада,міська рада Тиврівського району Вінницької області,
Вінницька,Тиврівський та Жмеринський райони,Гніванська міська об’єднана територіальна громада,"(місто Гнівань, село Грижинці); Жмеринський район:",,
Вінницька,Тиврівський та Жмеринський райони,Гніванська міська об’єднана територіальна громада,Демидівська сільська рада,,
Вінницька,Тиврівський та Жмеринський райони,Гніванська міська об’єднана територіальна громада,"(села Демидівка, Могилівка)",,
Волинська,Володимир-Волинський район,Зарічанська сільська об’єднана територіальна громада,Зарічанська сільська рада,Зарічанська,Зарічанський сільський голова Володимир-Волинського району Волинської області
Волинська,Володимир-Волинський район,Зарічанська сільська об’єднана територіальна громада,"(села Заріччя, Дігтів, Новосілки, Орані, Суходоли, Федорівка), Ласківська сільська рада",сільська рада Володимир-Волинського району Волинської області,
Волинська,Володимир-Волинський район,Зарічанська сільська об’єднана територіальна громада,"(села Ласків, Вощатин)",,
Волинська,Іваничівський район,Іваничівська селищна об’єднана територіальна громада,Іваничівська селищна рада,Іваничівська,Іваничівський селищний голова Іваничівського району Волинської області
Волинська,Іваничівський район,Іваничівська селищна об’єднана територіальна громада,"(смт Іваничі, села Долинка, Романівка), Мишівська сільська рада (села Мишів, Древині, Іванівка, Лугове),",селищна рада Іваничівського району Волинської області,
Волинська,Іваничівський район,Іваничівська селищна об’єднана територіальна громада,Соснинська сільська рада,,
Волинська,Іваничівський район,Іваничівська селищна об’єднана територіальна громада,"(села Соснина, Менчичі)",,
Волинська,Ківерцівський район,Жидичинська сільська об’єднана територіальна громада,Жидичинська сільська рада,Жидичинська сільська рада Ківерцівського району Волинської області,Жидичинський сільський голова Ківерцівського району Волинської області
Волинська,Ківерцівський район,Жидичинська сільська об’єднана територіальна громада,"(села Жидичин, Кульчин, Липляни), Озерцівська сільська рада (села Озерце, Клепачів, Небіжка)",,
Волинська,Ківерцівський район,Цуманська селищна об’єднана територіальна громада,Цуманська селищна рада,Цуманська,Цуманський селищний голова Ківерцівського району Волинської області
Волинська,Ківерцівський район,Цуманська селищна об’єднана територіальна громада,"(смт Цумань, село Кадище), Берестянська сільська рада",селищна рада Ківерцівського району Волинської області,
Волинська,Ківерцівський район,Цуманська селищна об’єднана територіальна громада,"(село Берестяне), Липненська сільська рада (село Липне), Холоневичівська сільська рада (села Холоневичі, Знамирівка)",,
Волинська,Луцький район,Боратинська сільська об’єднана територіальна громада,Боратинська сільська рада,Боратинська сільська рада Луцького району Волинської області,Боратинський сільський голова Луцького району Волинської області
Волинська,Луцький район,Боратинська сільська об’єднана територіальна громада,"(села Боратин, Голишів, Новостав, Рованці), Баївська сільська рада (села Баїв, Городище, Цеперів), Промінська сільська рада",,
Волинська,Луцький район,Боратинська сільська об’єднана територіальна громада,"(села Промінь, Вербаїв, Коршовець, Лучиці, Мстишин)",,
Волинська,Любешівський район,Любешівська селищна об’єднана територіальна громада,Любешівська селищна рада,Любешівська селищна рада Любешівського району Волинської області,Любешівський селищний голова 
Волинська,Любешівський район,Любешівська селищна об’єднана територіальна громада,"(смт Любешів, села Заріка, Рудка), Березичівська сільська рада",,Любешівського району Волинської області
Волинська,Любешівський район,Любешівська селищна об’єднана територіальна громада,"(села Березичі, Віл, Нові Березичі), Бихівська сільська рада",,
Волинська,Любешівський район,Любешівська селищна об’єднана територіальна громада,"(села Бихів, Хутомир), Бірківська сільська рада (села Бірки, Витуле), Великокурінська сільська рада (села Великий Курінь, Проходи), Ветлівська сільська рада",,
Волинська,Любешівський район,Любешівська селищна об’єднана територіальна громада,"(село Ветли), Гірківська сільська рада (села Гірки, Люботин, Мукошин), Деревківська сільська рада (село Деревок), Залаззівська сільська рада (села Залаззя, Діброва), Залізницька сільська рада (села Залізниця, Лобна, Міжгайці), Зарудчівська сільська рада (",,
Волинська,Любешівський район,Любешівська селищна об’єднана територіальна громада,"(села Судче, Березна Воля), Хоцунська сільська рада",,
Волинська,Любешівський район,Любешівська селищна об’єднана територіальна громада,"(села Хоцунь, Сваловичі), Цирська сільська рада (села Цир, Лахвичі)",,
Волинська,Любомльський район,Рівненська сільська об’єднана територіальна громада,Рівненська сільська рада,Рівненська,Рівненський сільський голова Любомльського району Волинської області
Волинська,Любомльський район,Рівненська сільська об’єднана територіальна громада,"(села Рівне, Борове, Старовойтове), Гущанська сільська рада (села Гуща, Вишнівка, Миловань, Підлісся), Забузька сільська рада",сільська рада Любомльського району Волинської області,
Волинська,Любомльський район,Рівненська сільська об’єднана територіальна громада,"(села Забужжя, Вербівка, Локутки, Новоугрузьке), Полапівська сільська рада (села Полапи, Сокіл), Столинсько-Смолярська сільська рада (села Столинські Смоляри, Будники, Гороховище,",,
Волинська,Любомльський район,Рівненська сільська об’єднана територіальна громада,Рогові Смоляри),,
Волинська,Любомльський район,Головненська селищна об’єднана територіальна громада,Головненська селищна рада,Головненська селищна рада Любомльського району Волинської області,Головненський селищний голова Любомльського району Волинської області
Волинська,Любомльський район,Головненська селищна об’єднана територіальна громада,"(смт Головне, села Масловець, Скрипиця, Ясне), Заболоттівська сільська рада (села Заболоття, Гуменці, Крушинець), Нудиженська сільська рада",,
Волинська,Любомльський район,Головненська селищна об’єднана територіальна громада,"(села Нудиже, Мшанець, Черемошна Воля)",,
Волинська,Любомльський район,Любомльська міська об’єднана територіальна громада,Любомльська міська рада,Любомльська міська рада Любомльського району Волинської області,Любомльський міський голова Любомльського району Волинської області
Волинська,Любомльський район,Любомльська міська об’єднана територіальна громада,"(місто Любомль), Бірківська сільська рада (села Бірки, Скиби), Запільська сільська рада",,
Волинська,Любомльський район,Любомльська міська об’єднана територіальна громада,"(села Запілля, Красноволя, Лисняки), Підгородненська сільська рада (села Підгородне, Боремщина, Вілька-Підгородненська, Застав’є), Куснищанська сільська рада",,
Волинська,Любомльський район,Любомльська міська об’єднана територіальна громада,"(села Куснища, Городнє), Почапівська сільська рада",,
Волинська,Любомльський район,Любомльська міська об’єднана територіальна громада,"(села Почапи, Вигнанка, Чорноплеси)",,
Волинська,Маневицький район,Колківська селищна об’єднана територіальна громада,Колківська селищна рада,Колківська,Колківський селищний голова Маневицького району Волинської області
Волинська,Маневицький район,Колківська селищна об’єднана територіальна громада,"(смт Колки), Боровичівська сільська рада (села Боровичі, Грузятин), Годомичівська сільська рада (село Годомичі), Рудниківська сільська рада",селищна рада Маневицького району Волинської області,
Волинська,Маневицький район,Колківська селищна об’єднана територіальна громада,"(села Рудники, Калинівка, Мар’янівка, Новоукраїнка, Островки), Старосільська сільська рада (села Старосілля, Розничі, Семки, Ситниця), Четвертнянська сільська рада (села Четвертня, Криничне)",,
Волинська,Ратнівський район,Велимченська сільська об’єднана територіальна громада,Велимченська сільська рада,Велимченська сільська рада Ратнівського району Волинської області,Велимченський сільський голова Ратнівського району Волинської області
Волинська,Ратнівський район,Велимченська сільська об’єднана територіальна громада,"(села Велимче, Дошне), Датинська сільська рада (села Датинь, Запілля)",,
Волинська,Рожищенський район,Копачівська сільська об’єднана територіальна громада,Копачівська сільська рада,Копачівська сільська рада Рожищенського району Волинської області,Копачівський сільський голова 
Волинська,Рожищенський район,Копачівська сільська об’єднана територіальна громада,"(села Копачівка, Башова, Олександрівка, Підліски, Тростянка), Березолуківська сільська рада (села Березолуки, Кроватка, Підгірне, Яблунівка), Залісцівська сільська рада",,Рожищенського району Волинської області
Волинська,Рожищенський район,Копачівська сільська об’єднана територіальна громада,"(села Залісці, Ужова), Кременецька сільська рада",,
Волинська,Рожищенський район,Копачівська сільська об’єднана територіальна громада,"(село Кременець), Любченська сільська рада (село Любче), Уляниківська сільська рада",,
Волинська,Рожищенський район,Копачівська сільська об’єднана територіальна громада,(село Уляники),,
Волинська,Старовижівський район,Дубечненська сільська об’єднана територіальна громада,Дубечненська сільська рада,Дубечненська сільська рада Старовижівського району Волинської області,Дубечненський сільський голова Старовижівського району Волинської області
Волинська,Старовижівський район,Дубечненська сільська об’єднана територіальна громада,"(села Дубечне, Залюття, Лютка, Мокре, Рокита), Глухівська сільська рада (села Глухи, Текля)",,
Волинська,Старовижівський район,Сереховичівська сільська об’єднана територіальна громада,"Сереховичівська сільська рада (села Сереховичі, Грабове, Нова Воля), Синівська сільська рада (село Синове), Солов’ївська сільська рада (села Солов’ї, Комарове, Ниці)",Сереховичівська сільська рада Старовижівського району Волинської області,Сереховичівський сільський голова Старовижівського району Волинської області
Волинська,Старовижівський район,Смідинська сільська об’єднана територіальна громада,Смідинська сільська рада,Смідинська,Смідинський сільський голова Старовижівського району Волинської області
Волинська,Старовижівський район,Смідинська сільська об’єднана територіальна громада,"(села Смідин, Лісняки, Паридуби), Руднянська сільська рада",сільська рада Старовижівського району Волинської області,
Волинська,Старовижівський район,Смідинська сільська об’єднана територіальна громада,"(села Рудня, Кукуріки, Сьомаки)",,
Волинська,Турійський район,Луківська селищна об’єднана територіальна громада,Луківська селищна рада,Луківська,Луківський селищний голова Турійського району Волинської області
Волинська,Турійський район,Луківська селищна об’єднана територіальна громада,"(смт Луків), Миляновичівська сільська рада (села Миляновичі, Годовичі, Залісці, Зілове, Кличковичі, Перевісся, Тупали, Туровичі), Соминська сільська рада (села Сомин, Відути)",селищна рада Турійського району Волинської області,
Волинська,Турійський район,Турійська селищна об’єднана територіальна громада,Турійська селищна рада,Турійська,Турійський селищний голова Турійського району Волинської області
Волинська,Турійський район,Турійська селищна об’єднана територіальна громада,"(смт Турійськ), Дольська сільська рада (села Дольськ, Растів), Кульчинська сільська рада",селищна рада Турійського району Волинської області,
Волинська,Турійський район,Турійська селищна об’єднана територіальна громада,"(села Кульчин, Мировичі, Ставок), Перевалівська сільська рада",,
Волинська,Турійський район,Турійська селищна об’єднана територіальна громада,"(села Перевали, Осереби, Охотники, Торговище)",,
