settlement_type,old_name,new_name,raion,oblast,date_rename,decision_rename,who_rename,decision-publish_rename,vidomosti
село,Ангелівка,Янгелівка,Буський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 251"
село,Андріївка,Мармузовичі,Буський,Львівська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Антонівка,Анталовці,Ужгородський,Закарпатська,02.03.1995,137/95-ПВ,Верховна Рада України,04.04.1995,"14, ст. 98"
село,Арданове,Арданово,Іршавський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Артема,Артема,Хрустальний,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
селище,Артема,Довга Балка,Костянтинівський,Донецька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Артема,Трудомирівка,Великомихайлівський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Артема,Жереб'яче,Хрустальний,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
село,Артема,Надія,Добропільський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
село,Артемівка,Озерне,Новоодеський,Миколаївська,19.05.2016,"1377-VIII, ч. 4",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Артемівка,М'ясожарівка,Сватівський,Луганська,19.05.2016,"1377-VIII, ч. 3",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Артемівка,Софіївка,Костянтинівський,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
смт,Артемівка,Скороходове,Чутівський,Полтавська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Артемівка,Благодатне,Харківський,Харківська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Артемівка,Високе,Кегичівський,Харківська,19.05.2016,1374-VIII,Верховна Рада України,10.06.2016,"24, ст. 494"
місто,Артемівськ,Кипуче,Перевальський,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
місто,Артемівськ,Бахмут,Бахмут,Донецька,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
селище,Артемівське,Хромове,Бахмутський,Донецька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
місто,Артемове,Залізне,Торецьк,Донецька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Бабина,Бабино,Старосамбірський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 253-254"
село,Бабине,Бабина,Самбірський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Бабинопілля,Акрешори,Косівський,Івано-Франківська,11.06.1993,3278-XII,Верховна Рада України,20.07.1993,"29, ст. 317"
село,Балаклія,Балаклея,Смілянський,Черкаська,07.10.2004,2073-IV,Верховна Рада України,03.12.2004,"49, ст.533"
село,Барвінкове,Низьколизи,Монастириський,Тернопільська,20.04.1992,2279-XII,Верховна Рада України,28.07.1992,"30, ст. 431"
село,Баркасове,Баркасово,Мукачівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Бармашове,Білозірка,Жовтневий,Миколаївська,12.05.2016,"1353-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 479"
місто,Бахмут,Бахмут,Бахмут,Донецька,23.03.2016,,Донецька обласна рада,01.07.2016,"27, с. 23"
село,Баяничі,Бояничі,Сокальський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Беєве-Комуна,Мельникове,Липоводолинський,Сумська,19.05.2016,1377-VIII. ч. 6,Верховна Рада України,10.06.2016,"24, ст. 497"
село,Береги,Великі Береги,Берегівський,Закарпатська,31.05.1993,,Закарпатська обласна рада,20.07.1993,"29, стор. 766-767"
село,Березина,Зубейки,Жовківський,Львівська,11.06.1993,3280-XII,Верховна Рада України,01.07.1993,"29, ст.319"
село,Березко,Нові Березичі,Любешівський,Волинська,28.12.1987,5100-XI,Верховна Рада України,12.01.1988,2. ст. 16
село,Березове,Березово,Хустський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 516"
село,Берестечко,Дземброня,Верховинський,Івано-Франківська,04.06.2009,1457-VI,Верховна Рада України,06.11.2009,"45, ст.697"
село,Берестовець,Берестівець,Уманський,Черкаська,07.08.2008,,Черкаська обласна рада,26.09.2008,"38-39, стор. 1934"
село,Бечаль,Бичаль,Костопільський,Рівненська,29.05.2009,,Рівненська обласна рада,17.07.2009,"29, стор.1081-1082"
село,Биндюга,Бендюга,Сокальський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Бистриця,Бистриця-Гірська,Дрогобицький,Львівська,11.03.2014,862-VII,Верховна Рада України,04.04.2014,"14, ст. 312"
село,Бихальцохівка,Бихольцохівка,Ріпкинський,Чернігівська,19.05.2016,1376-VIII,Верховна Рада України,10.06.2016,"24, ст. 496"
село,Бійнич,Бійничі,Дрогобицький,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 251"
село,Білич,Біличі,Старосамбірський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Біличі,Биличі,Старосамбірський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Білобережжя,Білоберіжжя,Дубенський,Рівненська,23.09.2008,581-VI,Верховна Рада України,06.02.2009,"6, ст.64"
село,Білогірка,Вікняни,Тлумацький,Івано-Франківська,11.06.1993,3278-XII,Верховна Рада України,20.07.1993,"29, ст. 317"
селище,Білокам'янка,Білокамінка,Овруцький,Житомирська,23.04.2008,,Житомирська обласна рада,23.01.2009,"3-4, стор.128"
селище,Білокам'янка,Білокамінка,Овруцький,Житомирська,23.04.2008,,Житомирська обласна рада,23.01.2009,"3-4, стор.128"
місто,Білокам'янськ,Інкерман,Севастополь,Севастополь,26.02.1991,787-XII,Верховна Рада України,19.03.1991,"12, ст. 128"
село,Білоріцьке,Мала Михайлівка,Веселівський,Запорізька,19.05.2016,"1377-VIII, ч. 2",Верховна Рада України,10.06.2016,"24, ст. 497"
село,Більшовик,Забілівщина Друга,Борзнянський,Чернігівська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,"15, ст. 154"
село,Більшовик,Дубове,Баришівський,Київська,17.03.2016,1037-VIII,Верховна Рада України,08.04.2016,15. ст. 154
село,Більшовик,Приморське,Голопристанський,Херсонська,12.05.2016,"1353-VIII, ч. 4",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Більшовик,Степове,Долинський,Кіровоградська,04.02.2016,984-VIII,Верховна Рада України,26.02.2016,"9, ст. 96"
